item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,is_active,needs_pricing_review,price_last_updated_at
HOUSECLEAN,House clean Full house clean including windows after fit-offs (excludes garage). Includes Removal of Manufactures Stickers and adhesion from Appliances,"",Sqm,2.8,A1 Builders Finals Services Group,"","",true,false,2025-11-04 01:40:10 UTC
DLCC,"Covercrete Complete - (Supply, Prep, Steel, Pour)","",Sqm,46.5,Riki's Resealing,"","",true,false,2025-11-04 01:40:10 UTC
TV2POINTS,Antenna for up to 3 pre-wired points,"",Each,175.0,,"","",true,false,2025-11-04 01:40:10 UTC
L9100,Lintel Ingal 100 X 100 - 900mm,"",Each,24.5454,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
ENGDP,Engineer Design And plans As per quote,"",Each,1.0,ENGINEER,"","",true,false,2025-11-04 01:40:10 UTC
DELFEE2,Delivery Fee - Brisbane,"",Each,130.0,Ausreo Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
2METRELONG,D Bar 12 X 2000mm D500N,"",Each,2.4636,Ausreo Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
TILEPLASFLRCOV,Plastic Floor Covering,"",Sqm,1.0,Alex Wang Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
FRAMETIMBQTE,Frame Timber Quote,"",Each,1.0,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
SCHR,Site clean hourly rate as directed(includes Truck),"",Each,90.0,Tekna Site,"","",true,false,2025-11-04 01:40:10 UTC
VDRE,Vanity Drawers Per Set,"",sets,84.0,Tekna Kitchen Material,"","",true,false,2025-11-04 01:40:10 UTC
TM312,Trench Mesh 3-TM 12 6000 X 200mm D500L,"",Each,34.0,Ausreo Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
BCCSEW,Brisbane City Council Sewerage Search,"",Each,15.0,SEARCHES,"","",true,false,2025-11-04 01:40:10 UTC
IPS1,Ipswich Planning Search,"",Each,90.0,SEARCHES,"","",true,false,2025-11-04 01:40:10 UTC
8282,Logan City Council Sewerage Search,"",Each,29.0,SEARCHES,"","",true,false,2025-11-04 01:40:10 UTC
RCSS,Redlands City Sewerage Search,"",Each,31.0,SEARCHES,"","",true,false,2025-11-04 01:40:10 UTC
IRS,Ipswich Rates search,"",Each,90.0,SEARCHES,"","",true,false,2025-11-04 01:40:10 UTC
ISS,Ipswich sewerage Search,"",Each,90.0,SEARCHES,"","",true,false,2025-11-04 01:40:10 UTC
SEASOLFEE,Solictor Fee,"",Each,1.0,SEARCHES,"","",true,false,2025-11-04 01:40:10 UTC
LAND1,Land Depoist,"",Each,500.0,LAND,"","",true,false,2025-11-04 01:40:10 UTC
PED,Painting to External Decking,"",Sqm,10.0,PAINTER,"","",true,false,2025-11-04 01:40:10 UTC
SCAD,Site clean as directed for complete package 3 x site visits (includes Allowance for Tip Fees),"",Each,1200.0,Tekna Site,"","",true,false,2025-11-04 01:40:10 UTC
TSP,Turf - Site prep,"",Sqm,4.0,LANDSCAPING,"","",true,false,2025-11-04 01:40:10 UTC
TPTS,Turf - Pre turf soil,"",Sqm,4.0,LANDSCAPING,"","",true,false,2025-11-04 01:40:10 UTC
TSL,Turf - Supply and Lay,"",Sqm,17.5,Joii Landscaping,"","",true,false,2025-11-04 01:40:10 UTC
RP,River Pebble,"",Sqm,24.0,Joii Landscaping,"","",true,false,2025-11-04 01:40:10 UTC
LFG,Feature Gardens,"",Sqm,96.0,LANDSCAPING,"","",true,false,2025-11-04 01:40:10 UTC
TILEQUOTE,Tiles as per Quote,"",Each,1.0,NATIONAL TILES CO PTY LTD,"","",true,false,2025-11-04 01:40:10 UTC
TERMBOX30,Termination Box 1 X 30amp (Single Phase),"",Each,,,"","",true,true,
TERMBOXUPTO15,Termination Box up to 15AMP (Single Phase),"",Each,,,"","",true,true,
TERMBOX20,Termination Box 1 X 20amp (Single Phase),"",Each,,,"","",true,true,
DCCON,Data Communication Conduit,"",Each,,,"","",true,true,
INTSTAIRS,Internal stairs as per quote,"",Each,1.0,Queensland Stairs (RALSAD),"","",true,false,2025-11-04 01:40:10 UTC
PATIOEXEL,Patio as per quote,"",Each,1.0,PATIO,"","",true,false,2025-11-04 01:40:10 UTC
SOF5038,Rough Sawn Pine 50 X 38,"",lm,1.361,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
R12TMZCAGE300,R12TM Z Cage 300 Deep,"",Each,95.4273,Ausreo Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
PCW,Spray & backroll ceiling and seal wall sheets,"",Sqm,6.0,PAINTER,"","",true,false,2025-11-04 01:40:10 UTC
SEWQUOTE,Sewage Treatment Systems as per Quote,"",Each,1.0,SEWAGE SYSTEMS,"","",true,false,2025-11-04 01:40:10 UTC
SJSEARCHES,Professional searches as required,"",Each,1.0,LEGAL,"","",true,false,2025-11-04 01:40:10 UTC
WSHEEBLE,Heeble for Shower Hob (same for Every Shower),"",Each,25.0,Wayke Waterproofing. Ware,"","",true,false,2025-11-04 01:40:10 UTC
VSST,Vanity with (no Top) (excludes vanity basin ) - soft close,"",lm,726.0,Tekna Kitchen Material,"","",true,false,2025-11-04 01:40:10 UTC
PLESH,Extra Shower (complete),"",Each,93.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLEHC,Extra Hose Cocks,"",Each,35.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLEFG,Extra Field Gullies,"",Each,115.5,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLEVB,Extra Vanity Basin,"",Each,99.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLEBS,Extra Bar Sink,"",Each,128.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLES,Extra Sink,"",Each,128.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLEB,Extra Bath,"",Each,128.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLELT,Extra Laundry Tub,"",Each,93.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLEWC,Extra Toilet,"",Each,106.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
CONSU,Prep and Sand Up,"",Sqm,6.0,CONCRETOR,"","",true,false,2025-11-04 01:40:10 UTC
CLF1,Carpenter Labour Straighten Frame,"",Sqm,1.5,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CEH25,Carpenter Extra Height 2550 Ceiling,"",Sqm,0.5,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CEH27,Carpenter Extra Height 2740 Ceiling,"",Sqm,1.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CET,Carpenter Extra Tiedown (Tin Roof),"",Sqm,2.5,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CSLLS,Carpenter Soffit Labour,"",Sqm,6.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CSL,Carpenter Sarking Labour,"",Sqm,1.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
14TFRANNA,14 T Franna Crane,"",hours,110.0,Cross Cranes,"","",true,false,2025-11-04 01:40:10 UTC
CSLH,Carpenter Additional Soffit Labour,"",Sqm,2.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CARACSS,Carpenter Axon / Cement sheet with strips,"",Sqm,21.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CFLLO,Carpenter Fixout Labour,"",Sqm,8.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CFLH,Carpenter Additional Fixout Labour,"",Sqm,1.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CFLH1,Carpenter Additional Frame Labour,"",Sqm,4.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CARBJD,"Carpenter Bearers, Joists & Deck Labour","",Sqm,35.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CARBJF,"Carpenter Bearers, Joists & Flooring Labour","",Sqm,18.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CARWB,Carpenter Weather Board Labour,"",Sqm,35.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
CARBB,Carpenter Blue Board Labour,"",Sqm,23.0,Tekna Carpentry,"","",true,false,2025-11-04 01:40:10 UTC
