name,contact_person,email,phone,address,rating,response_rate,avg_response_time,notes,is_active
WARDROBE DOORS,"","","","",3,75.0,24,Imported from EasyBuild,true
HOUSE CLEAN,"","","","",3,75.0,24,Imported from EasyBuild,true
HighFields Turf,"","","","",3,75.0,24,Imported from EasyBuild,true
Internal Stairs,"","","","",3,75.0,24,Imported from EasyBuild,true
TURN KEY,"","","","",3,75.0,24,Imported from EasyBuild,true
STA Consulting Engineers,"","","","",3,75.0,24,Imported from EasyBuild,true
Coastal Silt Fence,"","","","",3,75.0,24,Imported from EasyBuild,true
SHOWER SCREENS,"","","","",3,75.0,24,Imported from EasyBuild,true
Robert Harder,"","","","",3,75.0,24,Imported from EasyBuild,true
MIRRORS,"","","","",3,75.0,24,Imported from EasyBuild,true
John Gordon Electrical,"","","","",3,75.0,24,Imported from EasyBuild,true
Gaswork Heavy Industries PTY Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
LIGHT FIT,"","","","",3,75.0,24,Imported from EasyBuild,true
MM Redland Bay,"","","","",3,75.0,24,Imported from EasyBuild,true
Sunnycoast Concreting,"","","","",3,75.0,24,Imported from EasyBuild,true
Opel Concrete Pty Ltd Opel,"","","","",3,75.0,24,Imported from EasyBuild,true
HOT WATER SYSTEMS,"","","","",3,75.0,24,Imported from EasyBuild,true
LETTERBOXES,"","","","",3,75.0,24,Imported from EasyBuild,true
OFFICE ADMIN,"","","","",3,75.0,24,Imported from EasyBuild,true
Torsion Quality Controller,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Finishing Touches,"","","","",3,75.0,24,Imported from EasyBuild,true
Samwell Plumbing,"","","","",3,75.0,24,Imported from EasyBuild,true
WATER TANKS,"","","","",3,75.0,24,Imported from EasyBuild,true
Select Water Tanks,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Kitchen Labour,"","","","",3,75.0,24,Imported from EasyBuild,true
ENERGY,"","","","",3,75.0,24,Imported from EasyBuild,true
CLOTHES LINES,"","","","",3,75.0,24,Imported from EasyBuild,true
Sunshine Coast Council,"","","","",3,75.0,24,Imported from EasyBuild,true
SAFETY AUDIT,"","","","",3,75.0,24,Imported from EasyBuild,true
Joii Flooring,"","","","",3,75.0,24,Imported from EasyBuild,true
QFloors,"","","","",3,75.0,24,Imported from EasyBuild,true
GEN2612,"","","","",3,75.0,24,Imported from EasyBuild,true
Abodable,"","","","",3,75.0,24,Imported from EasyBuild,true
